Name,Mana Cost,CMC,Power,Toughness,Type,Creature,Non-Creature,Land,Text,Colours,Colour Identity,Keywords,Rarity,Collector No.,Price,Price STD,Price Foil,Price Etched
Fowl Strike,{1}{G},2.0,,,Instant,0,1,0,"Destroy target creature with flying.
Reinforce 2—{2}{G} ({2}{G}, Discard this card: Put two +1/+1 counters on target creature.)",['G'],['G'],"['Reinforce', 'Do Crime', 'Modified']",common,155,0.32,0.32,0.46,
Golden-Tail Trainer,{1}{G}{W},3.0,1,3,Creature — Fox Samurai,1,0,0,"Aura and Equipment spells you cast cost {X} less to cast, where X is Golden-Tail Trainer's power.
Whenever Golden-Tail Trainer attacks, other modified creatures you control get +X/+X until end of turn, where X is Golden-Tail Trainer's power. (Equipment, Auras you control, and counters are modifications.)","['G', 'W']","['G', 'W']",['Modified'],uncommon,187,1.08,0.67,1.08,
Faithful Watchdog,{G}{W},2.0,0,0,Creature — Dog,1,0,0,"Vigilance
Faithful Watchdog enters the battlefield with three +1/+1 counters on it.","['G', 'W']","['G', 'W']","['Vigilance', 'Modified']",common,185,0.26,0.26,0.55,
Nyxborn Hydra,{X}{G},1.0,0,1,Enchantment Creature — Hydra,1,0,0,"Bestow {X}{G}{G} (If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached.)
Reach, trample
Nyxborn Hydra enters the battlefield with X +1/+1 counters on it.
Enchanted creature gets +1/+1 for each +1/+1 counter on Nyxborn Hydra and has reach and trample.",['G'],['G'],"['Reach', 'Trample', 'Bestow', 'Modified']",common,164,0.46,0.46,0.94,
Envoy of the Ancestors,{2}{W},3.0,2,3,Creature — Human Cleric,1,0,0,"Outlast {W} ({W}, {T}: Put a +1/+1 counter on this creature. Outlast only as a sorcery.)
Modified creatures you control have lifelink. (Equipment, Auras you control, and counters are modifications.)",['W'],['W'],"['Outlast', 'Modified']",uncommon,23,0.36,0.36,0.48,
Gift of the Viper,{G},1.0,,,Instant,0,1,0,"Put a +1/+1 counter, a reach counter, and a deathtouch counter on target creature. Untap it.",['G'],['G'],['Modified'],common,156,0.92,0.22,0.92,
Shattered Landscape,,0.0,,,Land,0,0,1,"{T}: Add {C}.
{T}, Sacrifice Shattered Landscape: Search your library for a basic Mountain, Plains, or Swamp card, put it onto the battlefield tapped, then shuffle.
Cycling {R}{W}{B} ({R}{W}{B}, Discard this card: Draw a card.)",['N'],"['B', 'R', 'W']",['Cycling'],common,226,0.22,0.22,0.54,
Jolted Awake,{W},1.0,,,Sorcery,0,1,0,"Choose up to one target artifact or creature card in your graveyard. You get {E}{E} (two energy counters). Then you may pay an amount of {E} equal to that card's mana value. If you do, return it from your graveyard to the battlefield.
Cycling {2} ({2}, Discard this card: Draw a card.)",['W'],['W'],"['Cycling', 'Energy', 'Use Energy', 'Get Energy']",common,33,0.46,0.46,1.59,
Springheart Nantuko,{1}{G},2.0,1,1,Enchantment Creature — Insect Monk,1,0,0,"Bestow {1}{G}
Enchanted creature gets +1/+1.
Landfall — Whenever a land enters the battlefield under your control, you may pay {1}{G} if Springheart Nantuko is attached to a creature you control. If you do, create a token that's a copy of that creature. If you didn't create a token this way, create a 1/1 green Insect creature token.",['G'],['G'],"['Bestow', 'Landfall', 'Modified']",rare,171,6.84,6.84,11.02,
Nyxborn Unicorn,{1}{W},2.0,2,2,Enchantment Creature — Unicorn,1,0,0,"Bestow {3}{W} (If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached.)
Mentor (Whenever this creature attacks, put a +1/+1 counter on target attacking creature with lesser power.)
Enchanted creature gets +2/+2 and has mentor.",['W'],['W'],"['Mentor', 'Bestow', 'Modified']",common,37,0.47,0.47,0.69,
"['Suppression Ray', 'Orderly Plaza']","['{3}{W/U}{W/U}', '']",5.0,,,"['Sorcery', 'Land']",0,0,1,"['Tap all creatures target player controls. You may pay X {E}, then choose up to X creatures tapped this way. Put a stun counter on each of them. (If a permanent with a stun counter would become untapped, remove one from it instead.)', 'Orderly Plaza enters the battlefield tapped.\n{T}: Add {W} or {U}.']","['W', 'U']","['U', 'W']","['Do Crime', 'Energy', 'Use Energy', 'Get Energy', 'Modified']",uncommon,260,0.39,0.39,1.25,
"['Legion Leadership', 'Legion Stronghold']","['{1}{R/W}', '']",2.0,,,"['Instant', 'Land']",0,0,1,"[""Until end of turn, double target creature's power and it gains first strike."", 'Legion Stronghold enters the battlefield tapped.\n{T}: Add {R} or {W}.']","['W', 'R']","['R', 'W']",[],uncommon,255,0.46,0.46,0.43,
Aerie Auxiliary,{3}{W},4.0,3,3,Creature — Bird Soldier,1,0,0,"Flying
When Aerie Auxiliary enters the battlefield, support 2. (Put a +1/+1 counter on each of up to two other target creatures.)",['W'],['W'],"['Flying', 'Support']",common,18,,,0.51,
Wing It,{1}{W},2.0,,,Instant,0,1,0,Target creature gets +2/+2 until end of turn. Put a flying counter on it. Scry 1.,['W'],['W'],"['Scry', 'Modified']",common,48,0.24,0.24,0.45,
"['Sorin of House Markov', 'Sorin, Ravenous Neonate']","['{1}{B}', '']",2.0,,,"['Legendary Creature — Human Noble', 'Legendary Planeswalker — Sorin']",0,1,0,"[""Lifelink\nExtort (Whenever you cast a spell, you may pay {W/B}. If you do, each opponent loses 1 life and you gain that much life.)\nAt the beginning of your postcombat main phase, if you gained 3 or more life this turn, exile Sorin of House Markov, then return him to the battlefield transformed under his owner's control."", 'Extort (Whenever you cast a spell, you may pay {W/B}. If you do, each opponent loses 1 life and you gain that much life.)\n+2: Create a Food token.\n−1: Sorin, Ravenous Neonate deals damage equal to the amount of life you gained this turn to any target.\n−6: Gain control of target creature. It becomes a Vampire in addition to its other types. Put a lifelink counter on it if you control a white permanent other than that creature or Sorin.']","['B', 'W']","['B', 'W']","['Lifelink', 'Extort', 'Transform', 'Food', 'Do Crime', 'Modified']",mythic,245,24.35,24.35,17.07,
Temperamental Oozewagg,{3}{G},4.0,4,4,Creature — Ooze Brushwagg,1,0,0,"{2}{G}: Adapt 2. (If this creature has no +1/+1 counters on it, put two +1/+1 counters on it.)
Modified creatures you control have trample. (Equipment, Auras you control, and counters are modifications.)",['G'],['G'],"['Adapt', 'Modified']",common,172,0.44,0.44,0.85,
